rate,seed,records,injected,amount_injected,amount_detected,amount_recall,deletion_injected,deletion_detected,deletion_recall,period_injected,period_detected,period_recall,sequence_injected,sequence_detected,sequence_recall,false_positives
0.001,0,4818,5,2,2,1.0,1,1,1.0,1,1,1.0,1,1,1.0,0
0.001,1,4854,5,2,2,1.0,1,1,1.0,1,1,1.0,1,1,1.0,0
0.001,2,4900,5,2,2,1.0,1,1,1.0,1,1,1.0,1,1,1.0,0
0.001,3,4894,5,2,2,1.0,1,1,1.0,1,1,1.0,1,1,1.0,0
0.001,4,4880,5,2,2,1.0,1,1,1.0,1,1,1.0,1,1,1.0,0
0.005,0,4818,24,6,6,1.0,6,6,1.0,6,6,1.0,6,6,1.0,0
0.005,1,4854,24,6,6,1.0,6,6,1.0,6,6,1.0,6,6,1.0,0
0.005,2,4900,24,6,6,1.0,6,6,1.0,6,6,1.0,6,6,1.0,0
0.005,3,4894,24,6,6,1.0,6,6,1.0,6,6,1.0,6,6,1.0,0
0.005,4,4880,24,6,6,1.0,6,6,1.0,6,6,1.0,6,6,1.0,0
0.01,0,4818,48,12,12,1.0,12,12,1.0,12,12,1.0,12,12,1.0,0
0.01,1,4854,49,13,13,1.0,12,12,1.0,12,12,1.0,12,12,1.0,0
0.01,2,4900,49,13,13,1.0,12,12,1.0,12,12,1.0,12,12,1.0,0
0.01,3,4894,49,13,13,1.0,12,12,1.0,12,12,1.0,12,12,1.0,0
0.01,4,4880,49,13,13,1.0,12,12,1.0,12,12,1.0,12,12,1.0,0
0.05,0,4818,241,61,61,1.0,60,60,1.0,60,60,1.0,60,60,1.0,0
0.05,1,4854,243,61,61,1.0,61,61,1.0,61,61,1.0,60,60,1.0,0
0.05,2,4900,245,62,62,1.0,61,61,1.0,61,61,1.0,61,61,1.0,0
0.05,3,4894,245,62,62,1.0,61,61,1.0,61,61,1.0,61,61,1.0,0
0.05,4,4880,244,61,61,1.0,61,61,1.0,61,61,1.0,61,61,1.0,0
