run,records,batches,repeats,digest_s,anchor_s,verify_s,anchor_records_per_s,verify_records_per_s,anchor_spread,verify_spread
1,246,3,5,0.005247,0.006034,0.01464,40768,16804,0.0747,0.0745
1,1206,13,5,0.025258,0.029446,0.068163,40957,17693,0.0553,0.0466
1,4818,49,5,0.095584,0.112415,0.276284,42859,17439,0.1023,0.1287
1,24480,245,5,0.479062,0.541263,1.444321,45228,16949,0.1002,0.1659
1,97930,980,5,1.912914,2.266463,5.603793,43208,17476,0.0888,0.1369
2,246,3,5,0.004859,0.005695,0.013547,43193,18159,0.0537,0.0887
2,1206,13,5,0.023066,0.02678,0.062084,45034,19425,0.0472,0.0393
2,4818,49,5,0.089094,0.105445,0.249515,45692,19309,0.0672,0.0354
2,24480,245,5,0.470269,0.541544,1.347959,45204,18161,0.1037,0.0244
2,97930,980,5,1.850616,2.212705,5.508742,44258,17777,0.0705,0.1113
3,246,3,5,0.004899,0.005681,0.013594,43303,18096,0.0267,0.0339
3,1206,13,5,0.023088,0.026813,0.072003,44978,16749,0.0532,0.0778
3,4818,49,5,0.100112,0.117018,0.268142,41173,17968,0.137,0.1013
3,24480,245,5,0.481601,0.528503,1.307014,46320,18730,0.1078,0.0747
3,97930,980,5,1.897982,2.26234,5.711099,43287,17147,0.0979,0.088
